ID,NAME,BOT_ID,MISSION_ID,ORDER,CREATIVE_NAME,learn_data,Story,LEARN_MECHANISM (LLM type),Activity_Category,STATUS,Level_bot_id,ICON,estimate time,,
262026_1,Thời tiết quanh năm,1049,preA1_1,1,Thời tiết quanh năm,"{
  ""words"": [
  {
  ""word"": ""sunny"",
  ""translation"": ""Trời nắng""
  },
  {
  ""word"": ""rainy"",
  ""translation"": ""Trời mưa""
  },
  {
  ""word"": ""windy"",
  ""translation"": ""Trời nhiều gió""
  },
  {
  ""word"": ""cloudy"",
  ""translation"": ""Trời nhiều mây""
  },
  {
  ""word"": ""snowy"",
  ""translation"": ""Trời tuyết""
  },
  {
  ""word"": ""foggy"",
  ""translation"": ""Trời sương mù""
  }
  ]
 }",Cùng học từ vựng về chủ đề thời tiết,WORK_FLOW,Nạp cụm,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1049
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""sunny"",
  ""translation"": ""Trời nắng""
  },
  {
  ""word"": ""rainy"",
  ""translation"": ""Trời mưa""
  },
  {
  ""word"": ""windy"",
  ""translation"": ""Trời nhiều gió""
  },
  {
  ""word"": ""cloudy"",
  ""translation"": ""Trời nhiều mây""
  },
  {
  ""word"": ""snowy"",
  ""translation"": ""Trời tuyết""
  },
  {
  ""word"": ""foggy"",
  ""translation"": ""Trời sương mù""
  }
  ]
 }","{
  ""default"": {
    ""VI-EN"": 1049
  }
}"
262026_1.1,"Ơ kìa trời nắng, ơ kìa trời mưa",1424,preA1_1,2,"Ơ kìa trời nắng, ơ kìa trời mưa","{
  ""words"": [
  {
  ""word"": ""sunny"",
  ""translation"": ""Trời nắng""
  },
  {
  ""word"": ""rainy"",
  ""translation"": ""Trời mưa""
  },
  {
  ""word"": ""windy"",
  ""translation"": ""Trời nhiều gió""
  },
  {
  ""word"": ""cloudy"",
  ""translation"": ""Trời nhiều mây""
  },
  {
  ""word"": ""snowy"",
  ""translation"": ""Trời tuyết""
  },
  {
  ""word"": ""foggy"",
  ""translation"": ""Trời sương mù""
  }
  ]
 }","Là lá la, Pika có một bài hát siêu hay dành cho bé đây!",WORK_FLOW,Hát cùng Pika,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1424
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""sunny"",
  ""translation"": ""Trời nắng""
  },
  {
  ""word"": ""rainy"",
  ""translation"": ""Trời mưa""
  },
  {
  ""word"": ""windy"",
  ""translation"": ""Trời nhiều gió""
  },
  {
  ""word"": ""cloudy"",
  ""translation"": ""Trời nhiều mây""
  },
  {
  ""word"": ""snowy"",
  ""translation"": ""Trời tuyết""
  },
  {
  ""word"": ""foggy"",
  ""translation"": ""Trời sương mù""
  }
  ]
 }",
262026_3.2,Phép màu kỳ diệu,1141,preA1_2,3,Phép màu kỳ diệu,"{
  ""words"": [
  {
  ""word"": ""rainy"",
  ""translation"": ""Trời mưa""
  },
  {
  ""word"": ""cloudy"",
  ""translation"": ""Trời nhiều mây""
  },
  {
  ""word"": ""snowy"",
  ""translation"": ""Trời tuyết""
  },
  {
  ""word"": ""foggy"",
  ""translation"": ""Trời sương mù""
  }
  ]
 }",Cùng nói cụm từ 3 lần để thấy phép màu kỳ diệu từ hành tinh Popa,WORK_FLOW,Khởi động,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1141
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""rainy"",
  ""translation"": ""Trời mưa""
  },
  {
  ""word"": ""cloudy"",
  ""translation"": ""Trời nhiều mây""
  },
  {
  ""word"": ""snowy"",
  ""translation"": ""Trời tuyết""
  },
  {
  ""word"": ""foggy"",
  ""translation"": ""Trời sương mù""
  }
  ]
 }",
140526_05,Thời tiết đang thế nào nhỉ? (phần 1),1615,preA1_2,4,Thời tiết đang thế nào nhỉ? (phần 1),"{
  ""words"": []
 }",Pika muốn nói chuyện một chút với cậu về chủ đề thú vị này,AGENT,Tạo câu đơn,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1615
  }
}",,,,
262026_2,Gặp gỡ bạn Jenny,1057,preA1_2,5,Gặp gỡ bạn Jenny,"{
  ""words"": [
  {
  ""word"": ""sunny"",
  ""translation"": ""Trời nắng""
  },
  {
  ""word"": ""rainy"",
  ""translation"": ""Trời mưa""
  },
  {
  ""word"": ""windy"",
  ""translation"": ""Trời nhiều gió""
  },
  {
  ""word"": ""cloudy"",
  ""translation"": ""Trời nhiều mây""
  },
  {
  ""word"": ""snowy"",
  ""translation"": ""Trời tuyết""
  },
  {
  ""word"": ""foggy"",
  ""translation"": ""Trời sương mù""
  }
  ]
 }","Jenny là bạn thân của Pika ở trên hành tinh Popa, hôm nay mình sẽ cùng bạn Jenny khám phá hành tinh Popa nhé.",WORK_FLOW,Luyện tập,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1057
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""sunny"",
  ""translation"": ""Trời nắng""
  },
  {
  ""word"": ""rainy"",
  ""translation"": ""Trời mưa""
  },
  {
  ""word"": ""windy"",
  ""translation"": ""Trời nhiều gió""
  },
  {
  ""word"": ""cloudy"",
  ""translation"": ""Trời nhiều mây""
  },
  {
  ""word"": ""snowy"",
  ""translation"": ""Trời tuyết""
  },
  {
  ""word"": ""foggy"",
  ""translation"": ""Trời sương mù""
  }
  ]
 }",
262026_3,Thẻ bài thời tiết,1044,preA1_3,6,Thẻ bài thời tiết,"{
  ""words"": [
  {
  ""word"": ""sunny"",
  ""translation"": ""Trời nắng""
  },
  {
  ""word"": ""rainy"",
  ""translation"": ""Trời mưa""
  },
  {
  ""word"": ""windy"",
  ""translation"": ""Trời nhiều gió""
  },
  {
  ""word"": ""cloudy"",
  ""translation"": ""Trời nhiều mây""
  },
  {
  ""word"": ""snowy"",
  ""translation"": ""Trời tuyết""
  },
  {
  ""word"": ""foggy"",
  ""translation"": ""Trời sương mù""
  }
  ]
 }","Những tấm thẻ đầy màu sắc được xáo trộn, cậu hãy tinh mắt để đoán đúng tấm thẻ tớ chọn nhé!",WORK_FLOW,Khởi động,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1044
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""sunny"",
  ""translation"": ""Trời nắng""
  },
  {
  ""word"": ""rainy"",
  ""translation"": ""Trời mưa""
  },
  {
  ""word"": ""windy"",
  ""translation"": ""Trời nhiều gió""
  },
  {
  ""word"": ""cloudy"",
  ""translation"": ""Trời nhiều mây""
  },
  {
  ""word"": ""snowy"",
  ""translation"": ""Trời tuyết""
  },
  {
  ""word"": ""foggy"",
  ""translation"": ""Trời sương mù""
  }
  ]
 }",
140526_06,Dạo chơi trong khu vườn thời tiết (phần 1),1562,preA1_3,7,Dạo chơi trong khu vườn thời tiết (phần 1),"{
""words"": [
{
""word"": ""Apple"",
""translation"": ""Quả táo""
},
{
""word"": ""Book"",
""translation"": ""Quyển sách""
},
{
""word"": ""Crayon"",
""translation"": ""Bút sáp màu""
},
{
""word"": ""Desk"",
""translation"": ""Bàn học""
}
],
""sentences"": []
}
",Pika muốn nói chuyện một chút với cậu về chủ đề thú vị này,AGENT,Luyện ngữ âm,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1562
  }
}",,,,
060526_1,Bốn mùa nắng mưa,-1,preA1_3,8,Bốn mùa nắng mưa,"{
  ""words"": []
 }","Là lá la, Pika có một bài hát siêu hay dành cho bé đây!",WORK_FLOW,Hát cùng Pika,UP_COMING,"{
  ""default"": {
    ""VI-EN"": 1044
  }
}",,,"{
""words"": [
{ ""word"": ""sunny"", ""translation"": ""có nắng"" },
{ ""word"": ""rainy"", ""translation"": ""có mưa"" },
{ ""word"": ""windy"", ""translation"": ""có gió"" },
{ ""word"": ""cloudy"", ""translation"": ""nhiều mây"" },
{ ""word"": ""snowy"", ""translation"": ""có tuyết"" },
{ ""word"": ""foggy"", ""translation"": ""có sương mù"" }
],
""sentences"": [
{
""text"": ""What's the weather like?"",
""translation"": ""Thời tiết như thế nào?""
},
{
""text"": ""It is sunny"",
""translation"": ""Trời có nắng""
},
{
""text"": ""It is rainy"",
""translation"": ""Trời có mưa""
},
{
""text"": ""It is windy"",
""translation"": ""Trời có gió""
},
{
""text"": ""It is cloudy"",
""translation"": ""Trời nhiều mây""
},
{
""text"": ""It is snowy"",
""translation"": ""Trời có tuyết""
},
{
""text"": ""It is foggy"",
""translation"": ""Trời có sương mù""
}
]
}",
262026_4,Thời tiết quanh năm (phần 2),1088,preA1_4,9,Thời tiết quanh năm (phần 2),"{
  ""words"": [
  {
  ""word"": ""hot"",
  ""translation"": ""nóng""
  },
  {
  ""word"": ""cold"",
  ""translation"": ""lạnh""
  },
  {
  ""word"": ""wet"",
  ""translation"": ""ướt""
  },
  {
  ""word"": ""dry"",
  ""translation"": ""khô""
  },
  {
  ""word"": ""cool"",
  ""translation"": ""mát""
  },
  {
  ""word"": ""warm"",
  ""translation"": ""ấm""
  }
  ]
 }",Cùng học từ vựng về chủ đề thời tiết,WORK_FLOW,Nạp cụm,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1088
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""hot"",
  ""translation"": ""nóng""
  },
  {
  ""word"": ""cold"",
  ""translation"": ""lạnh""
  },
  {
  ""word"": ""wet"",
  ""translation"": ""ướt""
  },
  {
  ""word"": ""dry"",
  ""translation"": ""khô""
  },
  {
  ""word"": ""cool"",
  ""translation"": ""mát""
  },
  {
  ""word"": ""warm"",
  ""translation"": ""ấm""
  }
  ]
 }",
262026_5,Đánh thức rồng con,1140,preA1_4,10,Đánh thức rồng con,"{
  ""words"": [
  {
  ""word"": ""hot"",
  ""translation"": ""nóng""
  },
  {
  ""word"": ""cold"",
  ""translation"": ""lạnh""
  },
  {
  ""word"": ""wet"",
  ""translation"": ""ướt""
  },
  {
  ""word"": ""dry"",
  ""translation"": ""khô""
  },
  {
  ""word"": ""cool"",
  ""translation"": ""mát""
  },
  {
  ""word"": ""warm"",
  ""translation"": ""ấm""
  }
  ]
 }",Cùng đánh thức những chú rồng con đáng yêu bằng khả năng ghi nhớ và phát âm,WORK_FLOW,Khởi động,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1140
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""hot"",
  ""translation"": ""nóng""
  },
  {
  ""word"": ""cold"",
  ""translation"": ""lạnh""
  },
  {
  ""word"": ""wet"",
  ""translation"": ""ướt""
  },
  {
  ""word"": ""dry"",
  ""translation"": ""khô""
  },
  {
  ""word"": ""cool"",
  ""translation"": ""mát""
  },
  {
  ""word"": ""warm"",
  ""translation"": ""ấm""
  }
  ]
 }",
